"team_id","team_name","state_from","Win","Draw","Loss","n_from_state"
36,"Fulham","(+1,T2)",0.762329849297317,0.097095931894361,0.140574218808322,11
36,"Fulham","(+2,T2)",0.90082207739945,0.0437796393007077,0.0553982832998423,4
36,"Fulham","(-2,T3)",0.0268061740671884,0.0294003199446582,0.943793505988153,6
36,"Fulham","(-1,T3)",0.198878339466862,0.17684013557834,0.624281524954798,8
36,"Fulham","(0,T3)",0.373972889853033,0.300071828531733,0.325955281615234,15
36,"Fulham","(+1,T3)",0.815522232427535,0.0893960901004221,0.0950816774720426,9
36,"Fulham","(+2,T3)",0.946986153433494,0.0260075417694899,0.0270063047970156,6
36,"Fulham","(-2,T4)",0.0268061740671884,0.0294003199446582,0.943793505988153,7
36,"Fulham","(-1,T4)",0.0938216092351593,0.102901119806304,0.803277270958537,14
36,"Fulham","(0,T4)",0.314972545289463,0.345453759349734,0.339573695360802,17
36,"Fulham","(+1,T4)",0.939556401054953,0.0304812140602707,0.0299623848847767,12
36,"Fulham","(+2,T4)",0.979852133684984,0.0101604046867569,0.0099874616282589,6
39,"Wolves","(-2,T1)",0.00918823785870545,0.0621307273301427,0.928681034811152,1
39,"Wolves","(-1,T1)",0.0269946969722918,0.140966648271035,0.832038654756673,13
39,"Wolves","(0,T1)",0.0967741935483871,0.258064516129032,0.645161290322581,32
39,"Wolves","(+1,T1)",0.491321165371558,0.300779814305421,0.207899020323022,3
39,"Wolves","(+2,T1)",0,0,0,NA
39,"Wolves","(-2,T2)",0.00918823785870545,0.0621307273301427,0.928681034811152,11
39,"Wolves","(-1,T2)",0.0222698753847909,0.137488289460389,0.84024183515482,21
39,"Wolves","(0,T2)",0.0794924772996201,0.345197415355582,0.575310107344798,20
39,"Wolves","(+1,T2)",0.491321165371558,0.300779814305421,0.207899020323022,4
39,"Wolves","(+2,T2)",1,0,0,2
39,"Wolves","(-2,T3)",0.00264741909566271,0.0244519462650194,0.972900634639318,13
39,"Wolves","(-1,T3)",0.0155684048312106,0.135461601396029,0.848969993772761,16
39,"Wolves","(0,T3)",0.0785532710772757,0.470062538881958,0.451384190040767,13
39,"Wolves","(+1,T3)",0.442896092093305,0.428960920933051,0.128142986973644,3
39,"Wolves","(+2,T3)",1,0,0,1
39,"Wolves","(-2,T4)",0.00121175401393517,0.0121175401393517,0.986670705846713,14
39,"Wolves","(-1,T4)",0.0145410481672221,0.145410481672221,0.840048470160557,15
39,"Wolves","(0,T4)",0.0714934868221751,0.714934868221751,0.213571644956074,13
39,"Wolves","(+1,T4)",0.442896092093305,0.428960920933051,0.128142986973644,5
39,"Wolves","(+2,T4)",1,0,0,2
40,"Liverpool","(-2,T1)",0,0,0,NA
40,"Liverpool","(-1,T1)",0.212530889234261,0.180611566390627,0.606857544375112,8
40,"Liverpool","(0,T1)",0.451612903225806,0.225806451612903,0.32258064516129,32
40,"Liverpool","(+1,T1)",0.789311215808851,0.12766688513892,0.0830218990522293,4
40,"Liverpool","(+2,T1)",0.831281759283943,0.102361469413532,0.0663567713025255,2
40,"Liverpool","(-2,T2)",0.0926404449201291,0.104101635888035,0.803257919191836,5
40,"Liverpool","(-1,T2)",0.178376315806898,0.174155154216016,0.647468529977086,12
40,"Liverpool","(0,T2)",0.479706046305816,0.26351231899661,0.256781634697574,22
40,"Liverpool","(+1,T2)",0.747340672333759,0.152972300864308,0.0996870268019331,14
40,"Liverpool","(+2,T2)",0.831281759283943,0.102361469413532,0.0663567713025255,10
40,"Liverpool","(-2,T3)",0.0354831976622835,0.0573992903360467,0.90711751200167,4
40,"Liverpool","(-1,T3)",0.143580294494099,0.20846580663176,0.647953898874141,6
40,"Liverpool","(0,T3)",0.329233802030342,0.389805484749861,0.280960713219797,13
40,"Liverpool","(+1,T3)",0.684384857121121,0.19093042445239,0.124684718426489,12
40,"Liverpool","(+2,T3)",0.881646411454053,0.0719949705430659,0.0463586180028809,9
40,"Liverpool","(-2,T4)",0.0354831976622835,0.0573992903360467,0.90711751200167,4
40,"Liverpool","(-1,T4)",0.10644959298685,0.17219787100814,0.721352536005009,13
40,"Liverpool","(0,T4)",0.276768941765811,0.447714464621165,0.275516593613024,21
40,"Liverpool","(+1,T4)",0.723857232310582,0.170945522855354,0.105197244834064,16
40,"Liverpool","(+2,T4)",0.960551033187226,0.0244207889793362,0.0150281778334377,9
42,"Arsenal","(-2,T1)",0,0,0,NA
42,"Arsenal","(-1,T1)",0.517071918014651,0.263104239395533,0.219823842589816,2
42,"Arsenal","(0,T1)",0.67741935483871,0.225806451612903,0.0967741935483871,32
42,"Arsenal","(+1,T1)",0.857130503859156,0.110950966547872,0.0319185295929712,10
42,"Arsenal","(+2,T1)",0,0,0,NA
42,"Arsenal","(-2,T2)",0,0,0,NA
42,"Arsenal","(-1,T2)",0.356724481190593,0.300402027178163,0.342873491631244,6
42,"Arsenal","(0,T2)",0.603598524010892,0.279504415367156,0.116897060621952,26
42,"Arsenal","(+1,T2)",0.857130503859156,0.110950966547872,0.0319185295929712,21
42,"Arsenal","(+2,T2)",0.963696905412657,0.0298966661307532,0.00640642845658996,12
42,"Arsenal","(-2,T3)",0,0,0,NA
42,"Arsenal","(-1,T3)",0.109850438370294,0.32129963898917,0.568849922640536,3
42,"Arsenal","(0,T3)",0.448150367587951,0.454464403162864,0.0973852292491852,11
42,"Arsenal","(+1,T3)",0.847936976570835,0.125228372235782,0.026834651193382,16
42,"Arsenal","(+2,T3)",0.963696905412657,0.0298966661307532,0.00640642845658996,14
42,"Arsenal","(-2,T4)",0,0,0,NA
42,"Arsenal","(-1,T4)",0.109850438370294,0.32129963898917,0.568849922640536,6
42,"Arsenal","(0,T4)",0.219700876740588,0.642599277978339,0.137699845281073,13
42,"Arsenal","(+1,T4)",0.842186694172254,0.129963898916968,0.0278494069107788,15
42,"Arsenal","(+2,T4)",0.986848891181021,0.0108303249097473,0.00232078390923156,20
44,"Burnley","(-2,T1)",0.0292312769667134,0.097952099380127,0.872816623653159,3
44,"Burnley","(-1,T1)",0.0577201189118838,0.173336571190056,0.76894330989806,15
44,"Burnley","(0,T1)",0.129032258064516,0.258064516129032,0.612903225806452,33
44,"Burnley","(+1,T1)",0.435179825959943,0.252654874692612,0.312165299347445,3
44,"Burnley","(+2,T1)",0.435179825959943,0.252654874692612,0.312165299347445,1
